mal_id,title,score,episodes,status,aired_from,aired_to,genres,source,rating,favorite_count,rating_category,episode_range,popularity
52991,Sousou no Frieren,9.28,28,Finished Airing,2023-09-29T00:00:00+00:00,2024-03-22T00:00:00+00:00,"Adventure, Drama, Fantasy",Manga,PG-13 - Teens 13 or older,84697,Masterpiece,Long Series,Popular
59978,Sousou no Frieren 2nd Season,9.22,10,Currently Airing,2026-01-16T00:00:00+00:00,,"Adventure, Drama, Fantasy",Manga,PG-13 - Teens 13 or older,4971,Masterpiece,Short,Less Popular
57555,Chainsaw Man Movie: Reze-hen,9.1,1,Finished Airing,2025-09-19T00:00:00+00:00,,"Action, Fantasy",Manga,R - 17+ (violence & profanity),11530,Masterpiece,Very Short,Moderately Popular
5114,Fullmetal Alchemist: Brotherhood,9.1,64,Finished Airing,2009-04-05T00:00:00+00:00,2010-07-04T00:00:00+00:00,"Action, Adventure, Drama, Fantasy",Manga,R - 17+ (violence & profanity),240301,Masterpiece,Long Series,Very Popular
9253,Steins;Gate,9.07,24,Finished Airing,2011-04-06T00:00:00+00:00,2011-09-14T00:00:00+00:00,"Drama, Sci-Fi, Suspense",Visual novel,PG-13 - Teens 13 or older,200748,Masterpiece,Long Series,Very Popular
38524,Shingeki no Kyojin Season 3 Part 2,9.05,10,Finished Airing,2019-04-29T00:00:00+00:00,2019-07-01T00:00:00+00:00,"Action, Drama, Suspense",Manga,R - 17+ (violence & profanity),62677,Masterpiece,Short,Popular
28977,Gintama°,9.05,51,Finished Airing,2015-04-08T00:00:00+00:00,2016-03-30T00:00:00+00:00,"Action, Comedy, Sci-Fi",Manga,PG-13 - Teens 13 or older,17417,Masterpiece,Long Series,Moderately Popular
39486,Gintama: The Final,9.05,1,Finished Airing,2021-01-08T00:00:00+00:00,,"Action, Comedy, Drama, Sci-Fi",Manga,PG-13 - Teens 13 or older,4624,Masterpiece,Very Short,Less Popular
11061,Hunter x Hunter (2011),9.03,148,Finished Airing,2011-10-02T00:00:00+00:00,2014-09-24T00:00:00+00:00,"Action, Adventure, Fantasy",Manga,PG-13 - Teens 13 or older,227272,Masterpiece,Long Series,Very Popular
60022,One Piece Fan Letter,9.02,1,Finished Airing,2024-10-20T00:00:00+00:00,,"Action, Adventure, Fantasy",Light novel,PG-13 - Teens 13 or older,2503,Masterpiece,Very Short,Less Popular
9969,Gintama',9.02,51,Finished Airing,2011-04-04T00:00:00+00:00,2012-03-26T00:00:00+00:00,"Action, Comedy, Sci-Fi",Manga,PG-13 - Teens 13 or older,8551,Masterpiece,Long Series,Less Popular
15417,Gintama': Enchousen,9.02,13,Finished Airing,2012-10-04T00:00:00+00:00,2013-03-28T00:00:00+00:00,"Action, Comedy, Sci-Fi",Manga,PG-13 - Teens 13 or older,3159,Masterpiece,Standard,Less Popular
820,Ginga Eiyuu Densetsu,9.02,110,Finished Airing,1988-01-08T00:00:00+00:00,1997-03-17T00:00:00+00:00,"Drama, Sci-Fi",Novel,R - 17+ (violence & profanity),17633,Masterpiece,Long Series,Moderately Popular
34096,Gintama.,8.98,12,Finished Airing,2017-01-09T00:00:00+00:00,2017-03-27T00:00:00+00:00,"Action, Comedy, Sci-Fi",Manga,PG-13 - Teens 13 or older,2826,Masterpiece,Standard,Less Popular
41467,Bleach: Sennen Kessen-hen,8.98,13,Finished Airing,2022-10-11T00:00:00+00:00,2022-12-27T00:00:00+00:00,"Action, Adventure, Supernatural",Manga,R - 17+ (violence & profanity),22998,Masterpiece,Standard,Moderately Popular
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.96,13,Finished Airing,2022-04-09T00:00:00+00:00,2022-06-25T00:00:00+00:00,"Comedy, Romance",Manga,PG-13 - Teens 13 or older,33011,Masterpiece,Standard,Moderately Popular
42938,Fruits Basket: The Final,8.94,13,Finished Airing,2021-04-06T00:00:00+00:00,2021-06-29T00:00:00+00:00,"Drama, Romance, Supernatural",Manga,PG-13 - Teens 13 or older,21237,Masterpiece,Standard,Moderately Popular
4181,Clannad: After Story,8.93,24,Finished Airing,2008-10-03T00:00:00+00:00,2009-03-27T00:00:00+00:00,"Drama, Romance",Visual novel,PG-13 - Teens 13 or older,73469,Masterpiece,Long Series,Popular
918,Gintama,8.93,201,Finished Airing,2006-04-04T00:00:00+00:00,2010-03-25T00:00:00+00:00,"Action, Comedy, Sci-Fi",Manga,PG-13 - Teens 13 or older,61568,Masterpiece,Long Series,Popular
28851,Koe no Katachi,8.93,1,Finished Airing,2016-09-17T00:00:00+00:00,,"Award Winning, Drama",Manga,PG-13 - Teens 13 or older,95165,Masterpiece,Very Short,Popular
58514,Kusuriya no Hitorigoto 2nd Season,8.91,24,Finished Airing,2025-01-10T00:00:00+00:00,2025-07-04T00:00:00+00:00,"Drama, Mystery",Light novel,PG-13 - Teens 13 or older,7171,Masterpiece,Long Series,Less Popular
2904,Code Geass: Hangyaku no Lelouch R2,8.91,25,Finished Airing,2008-04-06T00:00:00+00:00,2008-09-28T00:00:00+00:00,"Award Winning, Drama, Sci-Fi",Original,R - 17+ (violence & profanity),80632,Masterpiece,Long Series,Popular
35180,3-gatsu no Lion 2nd Season,8.9,22,Finished Airing,2017-10-14T00:00:00+00:00,2018-03-31T00:00:00+00:00,Drama,Manga,PG-13 - Teens 13 or older,15396,Masterpiece,Standard,Moderately Popular
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.89,1,Finished Airing,2013-07-06T00:00:00+00:00,,"Action, Comedy, Sci-Fi",Manga,PG-13 - Teens 13 or older,2150,Masterpiece,Very Short,Less Popular
19,Monster,8.89,74,Finished Airing,2004-04-07T00:00:00+00:00,2005-09-28T00:00:00+00:00,"Drama, Mystery, Suspense",Manga,R+ - Mild Nudity,61042,Masterpiece,Long Series,Popular
37491,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,14,Finished Airing,2018-07-09T00:00:00+00:00,2018-10-08T00:00:00+00:00,"Action, Comedy, Sci-Fi",Manga,PG-13 - Teens 13 or older,1092,Masterpiece,Standard,Less Popular
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.86,2,Finished Airing,2023-03-04T00:00:00+00:00,2023-11-05T00:00:00+00:00,"Action, Drama, Suspense",Manga,R - 17+ (violence & profanity),17179,Masterpiece,Very Short,Moderately Popular
